Year,hg/ha_yield,avg_temp,pesticides_tonnes,cluster,norm_yield,norm_temp,temp_binned,yield_bins,decade
2000,269087,25.98,44957.52,1,0.6917236443535971,0.3932346723044393,Medium,Very High,2000
2000,269087,27.44,44957.52,1,0.6917236443535971,0.7019027484143763,High,Very High,2000
2000,269087,26.13,44957.52,1,0.6917236443535971,0.42494714587737725,Medium,Very High,2000
2000,269087,24.57,44957.52,1,0.6917236443535971,0.09513742071881559,Low,Very High,2000
2000,269087,25.34,44957.52,1,0.6917236443535971,0.2579281183932345,Low,Very High,2000
2000,269087,25.93,44957.52,1,0.6917236443535971,0.3826638477801261,Medium,Very High,2000
2000,269087,26.05,44957.52,1,0.6917236443535971,0.4080338266384773,Medium,Very High,2000
2000,269087,26.49,44957.52,1,0.6917236443535971,0.5010570824524301,Medium,Very High,2000
2000,269087,27.23,44957.52,1,0.6917236443535971,0.6575052854122614,Medium,Very High,2000
2000,269087,25.62,44957.52,1,0.6917236443535971,0.3171247357293865,Low,Very High,2000
2000,269087,26.43,44957.52,1,0.6917236443535971,0.4883720930232549,Medium,Very High,2000
2000,269087,25.35,44957.52,1,0.6917236443535971,0.2600422832980973,Low,Very High,2000
2000,269087,26.18,44957.52,1,0.6917236443535971,0.4355179704016905,Medium,Very High,2000
2000,269087,25.58,44957.52,1,0.6917236443535971,0.3086680761099361,Low,Very High,2000
2000,269087,25.11,44957.52,1,0.6917236443535971,0.20930232558139483,Low,Very High,2000
2000,269087,27.08,44957.52,1,0.6917236443535971,0.6257928118393226,Medium,Very High,2000
2000,269087,24.69,44957.52,1,0.6917236443535971,0.12050739957716683,Low,Very High,2000
2000,269087,27.03,44957.52,1,0.6917236443535971,0.6152219873150102,Medium,Very High,2000
2000,18216,25.98,44957.52,1,0.029195287555756268,0.3932346723044393,Medium,Medium,2000
2000,18216,27.44,44957.52,1,0.029195287555756268,0.7019027484143763,High,Medium,2000
2000,18216,26.13,44957.52,1,0.029195287555756268,0.42494714587737725,Medium,Medium,2000
2000,18216,24.57,44957.52,1,0.029195287555756268,0.09513742071881559,Low,Medium,2000
2000,18216,25.34,44957.52,1,0.029195287555756268,0.2579281183932345,Low,Medium,2000
2000,18216,25.93,44957.52,1,0.029195287555756268,0.3826638477801261,Medium,Medium,2000
2000,18216,26.05,44957.52,1,0.029195287555756268,0.4080338266384773,Medium,Medium,2000
2000,18216,26.49,44957.52,1,0.029195287555756268,0.5010570824524301,Medium,Medium,2000
2000,18216,27.23,44957.52,1,0.029195287555756268,0.6575052854122614,Medium,Medium,2000
2000,18216,25.62,44957.52,1,0.029195287555756268,0.3171247357293865,Low,Medium,2000
2000,18216,26.43,44957.52,1,0.029195287555756268,0.4883720930232549,Medium,Medium,2000
2000,18216,25.35,44957.52,1,0.029195287555756268,0.2600422832980973,Low,Medium,2000
2000,18216,26.18,44957.52,1,0.029195287555756268,0.4355179704016905,Medium,Medium,2000
2000,18216,25.58,44957.52,1,0.029195287555756268,0.3086680761099361,Low,Medium,2000
2000,18216,25.11,44957.52,1,0.029195287555756268,0.20930232558139483,Low,Medium,2000
2000,18216,27.08,44957.52,1,0.029195287555756268,0.6257928118393226,Medium,Medium,2000
2000,18216,24.69,44957.52,1,0.029195287555756268,0.12050739957716683,Low,Medium,2000
2000,18216,27.03,44957.52,1,0.029195287555756268,0.6152219873150102,Medium,Medium,2000
2000,186443,25.98,44957.52,1,0.47346807268847535,0.3932346723044393,Medium,Very High,2000
2000,186443,27.44,44957.52,1,0.47346807268847535,0.7019027484143763,High,Very High,2000
2000,186443,26.13,44957.52,1,0.47346807268847535,0.42494714587737725,Medium,Very High,2000
2000,186443,24.57,44957.52,1,0.47346807268847535,0.09513742071881559,Low,Very High,2000
2000,186443,25.34,44957.52,1,0.47346807268847535,0.2579281183932345,Low,Very High,2000
2000,186443,25.93,44957.52,1,0.47346807268847535,0.3826638477801261,Medium,Very High,2000
2000,186443,26.05,44957.52,1,0.47346807268847535,0.4080338266384773,Medium,Very High,2000
2000,186443,26.49,44957.52,1,0.47346807268847535,0.5010570824524301,Medium,Very High,2000
2000,186443,27.23,44957.52,1,0.47346807268847535,0.6575052854122614,Medium,Very High,2000
2000,186443,25.62,44957.52,1,0.47346807268847535,0.3171247357293865,Low,Very High,2000
2000,186443,26.43,44957.52,1,0.47346807268847535,0.4883720930232549,Medium,Very High,2000
2000,186443,25.35,44957.52,1,0.47346807268847535,0.2600422832980973,Low,Very High,2000
2000,186443,26.18,44957.52,1,0.47346807268847535,0.4355179704016905,Medium,Very High,2000
2000,186443,25.58,44957.52,1,0.47346807268847535,0.3086680761099361,Low,Very High,2000
2000,186443,25.11,44957.52,1,0.47346807268847535,0.20930232558139483,Low,Very High,2000
2000,186443,27.08,44957.52,1,0.47346807268847535,0.6257928118393226,Medium,Very High,2000
2000,186443,24.69,44957.52,1,0.47346807268847535,0.12050739957716683,Low,Very High,2000
2000,186443,27.03,44957.52,1,0.47346807268847535,0.6152219873150102,Medium,Very High,2000
2000,28508,25.98,44957.52,1,0.05637555888310529,0.3932346723044393,Medium,Medium,2000
2000,28508,27.44,44957.52,1,0.05637555888310529,0.7019027484143763,High,Medium,2000
2000,28508,26.13,44957.52,1,0.05637555888310529,0.42494714587737725,Medium,Medium,2000
2000,28508,24.57,44957.52,1,0.05637555888310529,0.09513742071881559,Low,Medium,2000
2000,28508,25.34,44957.52,1,0.05637555888310529,0.2579281183932345,Low,Medium,2000
2000,28508,25.93,44957.52,1,0.05637555888310529,0.3826638477801261,Medium,Medium,2000
2000,28508,26.05,44957.52,1,0.05637555888310529,0.4080338266384773,Medium,Medium,2000
2000,28508,26.49,44957.52,1,0.05637555888310529,0.5010570824524301,Medium,Medium,2000
2000,28508,27.23,44957.52,1,0.05637555888310529,0.6575052854122614,Medium,Medium,2000
2000,28508,25.62,44957.52,1,0.05637555888310529,0.3171247357293865,Low,Medium,2000
2000,28508,26.43,44957.52,1,0.05637555888310529,0.4883720930232549,Medium,Medium,2000
2000,28508,25.35,44957.52,1,0.05637555888310529,0.2600422832980973,Low,Medium,2000
2000,28508,26.18,44957.52,1,0.05637555888310529,0.4355179704016905,Medium,Medium,2000
2000,28508,25.58,44957.52,1,0.05637555888310529,0.3086680761099361,Low,Medium,2000
2000,28508,25.11,44957.52,1,0.05637555888310529,0.20930232558139483,Low,Medium,2000
2000,28508,27.08,44957.52,1,0.05637555888310529,0.6257928118393226,Medium,Medium,2000
2000,28508,24.69,44957.52,1,0.05637555888310529,0.12050739957716683,Low,Medium,2000
2000,28508,27.03,44957.52,1,0.05637555888310529,0.6152219873150102,Medium,Medium,2000
2000,7639,25.98,44957.52,1,0.001262356169303619,0.3932346723044393,Medium,Low,2000
2000,7639,27.44,44957.52,1,0.001262356169303619,0.7019027484143763,High,Low,2000
2000,7639,26.13,44957.52,1,0.001262356169303619,0.42494714587737725,Medium,Low,2000
2000,7639,24.57,44957.52,1,0.001262356169303619,0.09513742071881559,Low,Low,2000
2000,7639,25.34,44957.52,1,0.001262356169303619,0.2579281183932345,Low,Low,2000
2000,7639,25.93,44957.52,1,0.001262356169303619,0.3826638477801261,Medium,Low,2000
